timestamp,area_name,traffic_level,nearby_events,day_of_week,total_slots,occupied_slots,available_slots
2024-01-03 19:00:00,Cricket Stadium,8,0,0,50,35,15
2024-01-03 19:00:00,Airport,8,0,1,100,60,40
2024-01-03 19:00:00,Shopping Mall,1,0,0,200,20,180
2024-01-03 20:00:00,Airport,3,0,1,100,27,73
2024-01-03 20:00:00,Cricket Stadium,7,1,2,75,55,20
2024-01-03 21:00:00,City Center,8,0,4,50,37,13
2024-01-03 22:00:00,Cricket Stadium,3,0,6,100,20,80
2024-01-04 01:00:00,Shopping Mall,2,1,4,75,31,44
2024-01-04 02:00:00,Shopping Mall,9,0,5,200,144,56
2024-01-04 02:00:00,City Center,3,0,3,75,22,53
2024-01-04 03:00:00,Tech Park,4,0,3,75,23,52
2024-01-04 05:00:00,Cricket Stadium,7,0,2,75,47,28
2024-01-04 06:00:00,Railway Station,8,0,4,100,68,32
2024-01-04 07:00:00,Tech Park,1,0,3,75,3,72
2024-01-04 09:00:00,Airport,2,0,5,75,12,63
2024-01-04 10:00:00,Airport,5,0,2,150,65,85
2024-01-04 10:00:00,Airport,10,0,3,100,82,18
2024-01-04 11:00:00,Metro Station,8,0,1,200,123,77
2024-01-04 12:00:00,Cricket Stadium,3,0,5,75,18,57
2024-01-04 13:00:00,Shopping Mall,6,0,5,50,25,25
2024-01-04 14:00:00,Cricket Stadium,6,0,1,75,41,34
2024-01-04 15:00:00,Airport,8,0,5,200,131,69
2024-01-04 15:00:00,Shopping Mall,2,0,0,100,21,79
2024-01-04 17:00:00,Tech Park,1,0,6,100,9,91
2024-01-04 17:00:00,Cricket Stadium,2,0,2,150,19,131
2024-01-04 19:00:00,City Center,2,0,3,150,21,129
2024-01-04 19:00:00,Metro Station,4,0,1,100,27,73
2024-01-04 19:00:00,Cricket Stadium,6,0,2,75,38,37
2024-01-05 02:00:00,City Center,7,0,0,150,87,63
2024-01-05 02:00:00,City Center,5,0,3,100,38,62
2024-01-05 03:00:00,Tech Park,3,0,5,150,41,109
2024-01-05 04:00:00,Shopping Mall,6,0,1,200,99,101
2024-01-05 04:00:00,Airport,9,0,6,150,103,47
2024-01-05 04:00:00,Shopping Mall,1,0,6,150,12,138
2024-01-05 04:00:00,Cricket Stadium,1,0,3,150,8,142
2024-01-05 04:00:00,Airport,9,0,4,75,50,25
2024-01-05 06:00:00,Shopping Mall,1,0,6,75,6,69
2024-01-05 06:00:00,City Center,8,0,3,200,129,71
2024-01-05 08:00:00,Railway Station,8,0,5,75,51,24
2024-01-05 08:00:00,Railway Station,8,0,4,100,66,34
2024-01-05 08:00:00,City Center,1,0,2,100,13,87
2024-01-05 08:00:00,Railway Station,2,0,0,100,21,79
2024-01-05 09:00:00,City Center,4,0,2,50,19,31
2024-01-05 09:00:00,Railway Station,5,0,3,75,28,47
2024-01-05 13:00:00,Shopping Mall,8,0,2,100,66,34
2024-01-05 13:00:00,Tech Park,2,0,0,150,27,123
2024-01-05 15:00:00,Cricket Stadium,2,0,3,200,34,166
2024-01-05 18:00:00,Metro Station,1,0,3,50,3,47
2024-01-05 18:00:00,Shopping Mall,3,0,3,75,21,54
2024-01-05 19:00:00,Railway Station,7,1,2,150,112,38
2024-01-05 20:00:00,Railway Station,4,0,5,75,28,47
2024-01-05 20:00:00,Metro Station,1,0,3,100,12,88
2024-01-05 21:00:00,Metro Station,9,0,3,50,39,11
2024-01-05 22:00:00,Airport,8,0,6,75,43,32
2024-01-06 00:00:00,City Center,6,0,6,75,36,39
2024-01-06 01:00:00,Shopping Mall,3,0,2,50,15,35
2024-01-06 02:00:00,Airport,9,1,5,100,94,6
2024-01-06 02:00:00,Shopping Mall,5,1,3,100,61,39
2024-01-06 02:00:00,Metro Station,1,0,6,75,8,67
2024-01-06 04:00:00,Cricket Stadium,1,0,5,150,11,139
2024-01-06 05:00:00,Tech Park,5,0,6,75,32,43
2024-01-06 06:00:00,Tech Park,9,0,3,100,74,26
2024-01-06 07:00:00,Airport,3,0,3,150,38,112
2024-01-06 08:00:00,Shopping Mall,5,0,3,50,16,34
2024-01-06 08:00:00,City Center,3,0,4,150,36,114
2024-01-06 09:00:00,Airport,9,0,2,150,104,46
2024-01-06 09:00:00,Railway Station,1,0,3,75,1,74
2024-01-06 09:00:00,Shopping Mall,1,0,2,100,8,92
2024-01-06 12:00:00,Shopping Mall,5,0,2,75,31,44
2024-01-06 12:00:00,Railway Station,8,0,4,150,93,57
2024-01-06 12:00:00,Shopping Mall,6,0,4,75,39,36
2024-01-06 13:00:00,Airport,4,0,2,200,68,132
2024-01-06 14:00:00,Shopping Mall,9,0,2,75,56,19
2024-01-06 16:00:00,City Center,7,0,0,75,41,34
2024-01-06 16:00:00,Railway Station,10,0,4,50,37,13
2024-01-06 18:00:00,Airport,2,0,1,100,15,85
2024-01-06 18:00:00,City Center,8,0,4,100,61,39
2024-01-06 18:00:00,Cricket Stadium,6,1,4,75,52,23
2024-01-06 19:00:00,Cricket Stadium,1,0,1,75,7,68
2024-01-06 22:00:00,Metro Station,7,0,5,75,45,30
2024-01-06 23:00:00,Airport,5,0,6,150,61,89
2024-01-07 01:00:00,Railway Station,3,0,4,150,38,112
2024-01-07 01:00:00,Railway Station,2,0,3,75,13,62
2024-01-07 01:00:00,Shopping Mall,2,0,4,150,28,122
2024-01-07 03:00:00,Railway Station,9,0,5,200,147,53
2024-01-07 04:00:00,Cricket Stadium,2,0,1,50,6,44
2024-01-07 04:00:00,City Center,1,0,5,150,13,137
2024-01-07 07:00:00,Cricket Stadium,10,0,3,50,39,11
2024-01-07 07:00:00,Shopping Mall,1,0,1,150,14,136
2024-01-07 07:00:00,Shopping Mall,7,0,3,100,53,47
2024-01-07 09:00:00,Shopping Mall,1,0,6,75,9,66
2024-01-07 10:00:00,Shopping Mall,7,0,0,100,56,44
2024-01-07 11:00:00,Tech Park,2,0,4,75,8,67
2024-01-07 12:00:00,Shopping Mall,2,0,4,100,17,83
2024-01-07 12:00:00,City Center,3,0,2,75,14,61
2024-01-07 13:00:00,Tech Park,2,0,6,50,4,46
2024-01-07 14:00:00,Cricket Stadium,7,0,6,100,57,43
2024-01-07 17:00:00,Cricket Stadium,8,0,6,50,35,15
2024-01-07 18:00:00,Airport,3,0,3,75,20,55
2024-01-07 19:00:00,Airport,3,0,5,100,21,79
2024-01-07 20:00:00,Railway Station,1,0,2,100,5,95
2024-01-07 20:00:00,Cricket Stadium,5,0,2,100,35,65
2024-01-07 21:00:00,Cricket Stadium,5,0,0,150,58,92
2024-01-07 22:00:00,Shopping Mall,4,0,1,150,45,105
2024-01-07 23:00:00,City Center,8,0,3,100,60,40
2024-01-07 23:00:00,Airport,3,0,2,150,34,116
2024-01-08 00:00:00,Airport,5,0,0,150,60,90
2024-01-08 00:00:00,Railway Station,9,0,2,200,142,58
2024-01-08 02:00:00,Cricket Stadium,8,0,2,150,92,58
2024-01-08 02:00:00,Airport,5,0,3,150,63,87
2024-01-08 03:00:00,Airport,10,0,6,150,125,25
2024-01-08 04:00:00,Shopping Mall,1,0,1,75,5,70
2024-01-08 07:00:00,Airport,2,0,5,50,4,46
2024-01-08 07:00:00,Railway Station,8,0,4,100,62,38
2024-01-08 08:00:00,Tech Park,10,0,6,50,44,6
2024-01-08 08:00:00,Shopping Mall,2,0,5,100,11,89
2024-01-08 08:00:00,Tech Park,5,0,2,100,38,62
2024-01-08 09:00:00,Cricket Stadium,7,0,5,75,42,33
2024-01-08 10:00:00,Railway Station,2,1,3,100,33,67
2024-01-08 11:00:00,Shopping Mall,1,0,5,100,12,88
2024-01-08 11:00:00,Airport,9,0,3,150,105,45
2024-01-08 11:00:00,Tech Park,10,0,5,75,65,10
2024-01-08 12:00:00,Shopping Mall,3,0,2,150,34,116
2024-01-08 13:00:00,City Center,7,0,0,75,46,29
2024-01-08 13:00:00,Shopping Mall,8,1,2,100,88,12
2024-01-08 13:00:00,Metro Station,8,0,2,100,65,35
2024-01-08 14:00:00,Cricket Stadium,7,1,5,150,115,35
2024-01-08 15:00:00,Cricket Stadium,5,0,5,75,29,46
2024-01-08 16:00:00,Cricket Stadium,5,0,2,150,55,95
2024-01-08 20:00:00,Cricket Stadium,2,0,3,150,29,121
2024-01-08 20:00:00,Tech Park,9,1,4,150,139,11
2024-01-08 20:00:00,Airport,1,0,5,75,5,70
2024-01-08 23:00:00,Metro Station,2,1,0,75,29,46
2024-01-08 23:00:00,Railway Station,10,0,3,50,40,10
2024-01-08 23:00:00,Airport,10,1,3,200,200,0
2024-01-09 00:00:00,Airport,7,0,0,75,37,38
2024-01-09 00:00:00,City Center,2,1,3,150,57,93
2024-01-09 01:00:00,Metro Station,7,0,2,150,89,61
2024-01-09 04:00:00,Cricket Stadium,9,0,3,100,75,25
2024-01-09 05:00:00,Metro Station,6,0,6,150,71,79
2024-01-09 05:00:00,Metro Station,3,0,0,150,39,111
2024-01-09 06:00:00,Cricket Stadium,10,0,3,150,121,29
2024-01-09 07:00:00,Tech Park,6,1,5,100,69,31
2024-01-09 09:00:00,Tech Park,10,0,5,150,119,31
2024-01-09 10:00:00,Airport,4,0,5,100,32,68
2024-01-09 11:00:00,Metro Station,3,0,5,150,31,119
2024-01-09 14:00:00,Cricket Stadium,4,0,0,150,44,106
2024-01-09 15:00:00,Shopping Mall,2,0,2,200,33,167
2024-01-09 16:00:00,Shopping Mall,9,0,4,100,67,33
2024-01-09 17:00:00,Railway Station,3,0,2,200,52,148
2024-01-09 17:00:00,Tech Park,6,0,1,150,69,81
2024-01-09 17:00:00,Cricket Stadium,4,0,2,75,19,56
2024-01-09 19:00:00,Shopping Mall,2,0,2,100,13,87
2024-01-09 20:00:00,Railway Station,6,0,6,200,101,99
2024-01-09 21:00:00,Cricket Stadium,8,0,6,150,99,51
2024-01-09 21:00:00,City Center,6,0,5,150,74,76
2024-01-09 21:00:00,Shopping Mall,1,0,3,100,4,96
2024-01-09 22:00:00,City Center,6,0,4,150,67,83
2024-01-09 23:00:00,Cricket Stadium,9,0,3,100,75,25
2024-01-09 23:00:00,Shopping Mall,4,0,2,75,27,48
2024-01-09 23:00:00,City Center,7,0,6,75,39,36
2024-01-10 02:00:00,Cricket Stadium,1,0,1,100,3,97
2024-01-10 04:00:00,Railway Station,6,0,1,50,22,28
2024-01-10 05:00:00,Shopping Mall,10,0,0,150,124,26
2024-01-10 06:00:00,Metro Station,3,0,0,50,7,43
2024-01-10 07:00:00,Airport,6,0,3,100,47,53
2024-01-10 07:00:00,Cricket Stadium,10,0,1,75,63,12
2024-01-10 08:00:00,City Center,4,0,5,75,27,48
2024-01-10 09:00:00,Airport,3,0,1,150,37,113
2024-01-10 09:00:00,Tech Park,2,0,0,75,17,58
2024-01-10 09:00:00,City Center,7,0,2,75,41,34
2024-01-10 09:00:00,Shopping Mall,8,0,2,75,43,32
2024-01-10 10:00:00,City Center,4,0,2,100,36,64
2024-01-10 11:00:00,Metro Station,2,0,3,75,12,63
2024-01-10 11:00:00,Tech Park,6,0,0,100,53,47
2024-01-10 12:00:00,Metro Station,10,0,5,75,57,18
2024-01-10 12:00:00,Shopping Mall,10,0,2,150,124,26
2024-01-10 12:00:00,Cricket Stadium,10,1,1,150,149,1
2024-01-10 13:00:00,Airport,4,0,0,75,19,56
2024-01-10 14:00:00,Cricket Stadium,1,0,5,75,7,68
2024-01-10 14:00:00,Airport,4,0,6,100,34,66
2024-01-10 14:00:00,City Center,3,0,3,150,34,116
2024-01-10 15:00:00,Tech Park,4,0,4,150,50,100
2024-01-10 16:00:00,Shopping Mall,2,0,3,100,12,88
2024-01-10 17:00:00,Tech Park,2,0,1,50,13,37
2024-01-10 17:00:00,Metro Station,5,0,2,100,39,61
2024-01-10 18:00:00,Railway Station,3,0,6,75,15,60
2024-01-10 19:00:00,City Center,6,1,3,100,71,29
2024-01-10 19:00:00,Airport,10,0,4,100,79,21
2024-01-10 20:00:00,Cricket Stadium,6,1,6,150,103,47
2024-01-10 20:00:00,Tech Park,8,0,0,150,98,52
2024-01-10 21:00:00,Tech Park,9,0,3,100,73,27
2024-01-10 21:00:00,Tech Park,5,0,5,100,45,55
2024-01-10 22:00:00,Tech Park,1,0,4,150,16,134
2024-01-10 23:00:00,Airport,5,0,3,75,33,42
2024-01-11 00:00:00,City Center,5,0,4,75,32,43
2024-01-11 01:00:00,Metro Station,5,0,6,75,29,46
2024-01-11 02:00:00,City Center,9,0,0,75,51,24
2024-01-11 06:00:00,Cricket Stadium,6,0,5,100,43,57
2024-01-11 07:00:00,Cricket Stadium,6,0,6,100,48,52
2024-01-11 09:00:00,Cricket Stadium,5,0,1,100,38,62
2024-01-11 10:00:00,Shopping Mall,2,0,4,200,33,167
2024-01-11 10:00:00,City Center,3,1,3,150,64,86
2024-01-11 12:00:00,City Center,6,0,4,150,77,73
2024-01-11 13:00:00,Airport,4,0,6,75,20,55
2024-01-11 13:00:00,Tech Park,1,0,3,75,11,64
2024-01-11 14:00:00,Airport,8,0,1,150,93,57
2024-01-11 14:00:00,Airport,10,1,3,150,150,0
2024-01-11 14:00:00,Railway Station,8,0,4,50,37,13
2024-01-11 15:00:00,Airport,9,0,5,200,141,59
2024-01-11 17:00:00,Tech Park,8,0,3,150,100,50
2024-01-11 18:00:00,Shopping Mall,6,0,2,200,96,104
2024-01-11 18:00:00,Railway Station,1,1,1,100,24,76
2024-01-11 18:00:00,Airport,4,0,0,200,64,136
2024-01-11 18:00:00,City Center,9,0,6,75,52,23
2024-01-11 18:00:00,Railway Station,8,1,4,50,46,4
2024-01-11 21:00:00,Airport,3,0,6,150,32,118
2024-01-11 21:00:00,Metro Station,10,0,0,100,80,20
2024-01-12 00:00:00,Tech Park,3,0,5,150,35,115
2024-01-12 02:00:00,City Center,8,0,0,150,91,59
2024-01-12 02:00:00,Shopping Mall,3,0,0,200,48,152
2024-01-12 05:00:00,Tech Park,9,0,6,200,145,55
2024-01-12 06:00:00,Railway Station,9,0,2,100,72,28
2024-01-12 06:00:00,Shopping Mall,5,0,5,50,19,31
2024-01-12 06:00:00,City Center,7,0,0,100,51,49
2024-01-12 08:00:00,Airport,4,0,4,200,61,139
2024-01-12 08:00:00,Airport,3,0,2,75,22,53
2024-01-12 11:00:00,Tech Park,9,0,0,75,51,24
2024-01-12 12:00:00,Shopping Mall,9,0,2,50,37,13
2024-01-12 12:00:00,Airport,7,0,4,150,80,70
2024-01-12 13:00:00,Airport,4,0,5,100,30,70
2024-01-12 13:00:00,City Center,10,0,4,100,83,17
2024-01-12 16:00:00,Railway Station,1,0,1,100,12,88
2024-01-12 16:00:00,Railway Station,9,0,3,150,103,47
2024-01-12 17:00:00,Shopping Mall,1,0,4,75,6,69
2024-01-12 18:00:00,Tech Park,6,0,0,100,46,54
2024-01-12 18:00:00,City Center,8,0,0,100,61,39
2024-01-12 18:00:00,Tech Park,5,0,5,75,35,40
2024-01-12 19:00:00,Metro Station,7,0,2,150,81,69
2024-01-12 19:00:00,Airport,4,0,3,50,17,33
2024-01-12 19:00:00,Railway Station,9,0,4,100,69,31
2024-01-12 19:00:00,Airport,9,0,6,100,73,27
2024-01-12 21:00:00,Airport,10,0,0,200,157,43
2024-01-13 00:00:00,Airport,4,1,4,50,28,22
2024-01-13 01:00:00,Metro Station,5,0,6,75,27,48
2024-01-13 04:00:00,Railway Station,9,0,0,75,56,19
2024-01-13 06:00:00,City Center,5,1,2,150,87,63
2024-01-13 06:00:00,Tech Park,8,0,2,100,59,41
2024-01-13 08:00:00,Shopping Mall,4,0,0,150,48,102
2024-01-13 10:00:00,Metro Station,7,0,4,75,46,29
2024-01-13 10:00:00,Railway Station,1,0,1,150,15,135
2024-01-13 12:00:00,Cricket Stadium,10,0,5,100,78,22
2024-01-13 13:00:00,Airport,6,0,6,150,72,78
2024-01-13 18:00:00,Railway Station,7,0,4,75,47,28
2024-01-13 18:00:00,Metro Station,10,0,4,150,120,30
2024-01-13 18:00:00,Metro Station,2,0,6,200,34,166
2024-01-13 19:00:00,Railway Station,7,0,2,100,59,41
2024-01-13 20:00:00,City Center,7,0,5,150,82,68
2024-01-13 21:00:00,Metro Station,9,0,6,100,73,27
2024-01-13 22:00:00,Metro Station,7,0,6,75,39,36
2024-01-13 22:00:00,Railway Station,2,0,4,75,12,63
2024-01-14 00:00:00,Metro Station,1,0,1,150,16,134
2024-01-14 01:00:00,Metro Station,1,0,1,75,1,74
2024-01-14 01:00:00,Cricket Stadium,8,0,4,75,47,28
2024-01-14 01:00:00,Railway Station,3,0,3,50,10,40
2024-01-14 02:00:00,Railway Station,1,0,1,200,16,184
2024-01-14 05:00:00,Metro Station,6,0,5,75,32,43
2024-01-14 07:00:00,Airport,6,0,4,100,46,54
2024-01-14 07:00:00,Airport,3,0,5,50,15,35
2024-01-14 08:00:00,Tech Park,9,0,5,50,33,17
2024-01-14 08:00:00,Shopping Mall,10,0,1,200,156,44
2024-01-14 10:00:00,City Center,2,0,4,200,36,164
2024-01-14 11:00:00,Shopping Mall,10,0,6,100,75,25
2024-01-14 12:00:00,Metro Station,2,0,1,75,11,64
2024-01-14 13:00:00,Airport,2,0,3,150,29,121
2024-01-14 13:00:00,Cricket Stadium,3,1,4,150,68,82
2024-01-14 13:00:00,Airport,6,0,3,100,45,55
2024-01-14 14:00:00,Cricket Stadium,2,0,6,100,13,87
2024-01-14 15:00:00,Cricket Stadium,7,0,0,75,37,38
2024-01-14 16:00:00,Railway Station,10,0,3,100,78,22
2024-01-14 16:00:00,Metro Station,1,0,0,100,6,94
2024-01-14 17:00:00,City Center,4,1,0,100,57,43
2024-01-14 19:00:00,City Center,10,1,1,75,75,0
2024-01-14 20:00:00,Railway Station,1,0,1,150,11,139
2024-01-14 20:00:00,Cricket Stadium,8,0,5,150,91,59
2024-01-14 22:00:00,Cricket Stadium,3,0,3,100,19,81
2024-01-15 01:00:00,Shopping Mall,5,0,2,100,36,64
2024-01-15 01:00:00,Shopping Mall,4,0,5,200,60,140
2024-01-15 03:00:00,Cricket Stadium,10,0,3,75,57,18
2024-01-15 03:00:00,Cricket Stadium,10,0,5,75,59,16
2024-01-15 03:00:00,City Center,6,1,3,100,63,37
2024-01-15 04:00:00,Cricket Stadium,9,1,5,150,143,7
2024-01-15 06:00:00,Airport,9,0,3,200,143,57
2024-01-15 06:00:00,Metro Station,2,0,0,150,26,124
2024-01-15 07:00:00,Metro Station,9,0,1,75,58,17
2024-01-15 07:00:00,City Center,9,0,3,200,147,53
2024-01-15 07:00:00,Metro Station,4,0,3,150,47,103
2024-01-15 07:00:00,Railway Station,10,0,6,75,57,18
2024-01-15 08:00:00,Tech Park,8,0,5,100,60,40
2024-01-15 11:00:00,City Center,7,0,5,50,25,25
2024-01-15 12:00:00,Airport,4,0,5,150,53,97
2024-01-15 14:00:00,Airport,6,0,6,150,70,80
2024-01-15 14:00:00,Shopping Mall,10,0,0,150,125,25
2024-01-15 17:00:00,Tech Park,1,0,0,50,4,46
2024-01-15 18:00:00,Railway Station,8,0,2,150,101,49
2024-01-15 19:00:00,Shopping Mall,5,0,5,100,39,61
2024-01-15 19:00:00,Metro Station,7,0,1,75,40,35
2024-01-15 20:00:00,Shopping Mall,5,0,1,100,35,65
2024-01-15 20:00:00,Shopping Mall,10,0,5,50,39,11
2024-01-15 21:00:00,Airport,6,0,0,75,33,42
2024-01-15 22:00:00,Cricket Stadium,7,1,2,100,74,26
2024-01-16 01:00:00,Railway Station,4,0,1,150,50,100
2024-01-16 02:00:00,Cricket Stadium,4,1,2,100,54,46
2024-01-16 03:00:00,City Center,7,0,1,150,85,65
2024-01-16 04:00:00,Cricket Stadium,3,0,5,75,21,54
2024-01-16 05:00:00,Railway Station,7,0,0,75,47,28
2024-01-16 06:00:00,City Center,4,0,2,75,27,48
2024-01-16 08:00:00,Shopping Mall,7,0,0,200,114,86
2024-01-16 10:00:00,Railway Station,8,0,4,100,67,33
2024-01-16 10:00:00,Shopping Mall,1,0,2,150,8,142
2024-01-16 10:00:00,Tech Park,6,1,3,100,70,30
2024-01-16 11:00:00,Shopping Mall,10,0,4,75,56,19
2024-01-16 12:00:00,Shopping Mall,9,0,0,75,54,21
2024-01-16 12:00:00,Metro Station,9,0,6,150,107,43
2024-01-16 15:00:00,Cricket Stadium,10,0,5,75,56,19
2024-01-16 16:00:00,City Center,5,0,3,100,35,65
2024-01-16 17:00:00,Cricket Stadium,7,1,5,50,35,15
2024-01-16 17:00:00,City Center,8,0,3,100,66,34
2024-01-16 18:00:00,Metro Station,3,0,6,75,20,55
2024-01-16 18:00:00,Tech Park,4,0,6,200,69,131
2024-01-16 18:00:00,Tech Park,5,0,4,150,61,89
2024-01-16 20:00:00,Airport,10,0,3,75,64,11
2024-01-17 00:00:00,Shopping Mall,1,0,2,150,9,141
2024-01-17 01:00:00,Railway Station,9,0,0,50,35,15
2024-01-17 02:00:00,Railway Station,8,0,4,75,51,24
2024-01-17 02:00:00,Airport,8,0,5,50,32,18
2024-01-17 03:00:00,Tech Park,3,0,1,200,44,156
2024-01-17 06:00:00,Tech Park,5,0,3,75,28,47
2024-01-17 07:00:00,Metro Station,9,0,5,150,111,39
2024-01-17 07:00:00,Shopping Mall,4,0,4,100,27,73
2024-01-17 08:00:00,Airport,8,0,1,75,48,27
2024-01-17 09:00:00,City Center,1,0,4,100,7,93
2024-01-17 10:00:00,City Center,8,0,4,100,65,35
2024-01-17 11:00:00,Cricket Stadium,7,0,5,100,53,47
2024-01-17 11:00:00,Railway Station,1,0,0,100,6,94
2024-01-17 11:00:00,City Center,8,0,0,100,69,31
2024-01-17 11:00:00,Airport,8,0,2,100,64,36
2024-01-17 12:00:00,Cricket Stadium,9,0,3,100,67,33
2024-01-17 13:00:00,Shopping Mall,6,0,4,150,73,77
2024-01-17 13:00:00,Airport,10,0,4,150,121,29
2024-01-17 16:00:00,Metro Station,8,0,5,150,95,55
2024-01-17 16:00:00,City Center,7,0,0,200,116,84
2024-01-17 17:00:00,Cricket Stadium,7,0,2,75,39,36
2024-01-17 17:00:00,Metro Station,2,1,3,200,69,131
2024-01-17 18:00:00,Cricket Stadium,9,0,1,75,56,19
2024-01-17 18:00:00,Tech Park,7,0,1,75,43,32
2024-01-17 19:00:00,Cricket Stadium,7,0,3,150,79,71
2024-01-17 20:00:00,City Center,2,0,4,200,36,164
2024-01-17 20:00:00,Shopping Mall,1,0,1,100,9,91
2024-01-17 22:00:00,Tech Park,7,0,2,150,80,70
2024-01-17 23:00:00,Shopping Mall,3,0,2,75,13,62
2024-01-18 01:00:00,Tech Park,10,0,4,100,81,19
2024-01-18 03:00:00,Tech Park,5,0,1,100,39,61
2024-01-18 04:00:00,Metro Station,7,0,3,150,86,64
2024-01-18 05:00:00,Tech Park,2,0,4,100,17,83
2024-01-18 06:00:00,Airport,2,0,0,150,20,130
2024-01-18 07:00:00,Tech Park,9,0,1,150,111,39
2024-01-18 09:00:00,Shopping Mall,3,0,1,200,43,157
2024-01-18 10:00:00,Railway Station,10,0,5,150,120,30
2024-01-18 12:00:00,Cricket Stadium,9,0,4,75,57,18
2024-01-18 12:00:00,Railway Station,6,0,6,150,68,82
2024-01-18 13:00:00,Cricket Stadium,10,0,3,200,165,35
2024-01-18 13:00:00,Tech Park,6,0,2,100,48,52
2024-01-18 13:00:00,Airport,5,0,3,100,41,59
2024-01-18 13:00:00,Metro Station,10,0,6,100,82,18
2024-01-18 14:00:00,Airport,10,0,4,150,125,25
2024-01-18 17:00:00,City Center,5,0,3,100,40,60
2024-01-18 17:00:00,Airport,8,0,1,200,129,71
2024-01-18 18:00:00,Metro Station,9,0,1,75,54,21
2024-01-18 20:00:00,Airport,8,0,6,50,35,15
2024-01-18 20:00:00,Cricket Stadium,2,1,4,150,54,96
2024-01-18 20:00:00,Airport,3,1,2,75,33,42
2024-01-18 21:00:00,Metro Station,7,0,2,100,61,39
2024-01-19 00:00:00,Tech Park,10,0,2,200,160,40
2024-01-19 00:00:00,Cricket Stadium,5,0,4,50,23,27
2024-01-19 00:00:00,Metro Station,1,0,1,100,4,96
2024-01-19 01:00:00,Metro Station,7,0,3,100,58,42
2024-01-19 01:00:00,Cricket Stadium,6,0,4,150,68,82
2024-01-19 02:00:00,Metro Station,9,0,4,100,73,27
2024-01-19 03:00:00,Railway Station,8,0,6,150,100,50
